2026-05-15 07:50:40.175 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
2026-05-15 07:50:41.968 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 9 seconds
2026-05-15 07:50:42.456 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 9 seconds
2026-05-15 07:50:48.969 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:50:49.975 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:51:14.012 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 37 seconds
2026-05-15 07:51:14.645 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 36 seconds
2026-05-15 07:51:16.293 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 35 seconds
2026-05-15 07:51:16.892 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 34 seconds
2026-05-15 07:51:18.477 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 33 seconds
2026-05-15 07:51:19.171 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 32 seconds
2026-05-15 07:51:20.730 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 30 seconds
2026-05-15 07:51:21.451 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 30 seconds
2026-05-15 07:51:23.013 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 28 seconds
2026-05-15 07:51:23.742 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 27 seconds
2026-05-15 07:51:25.302 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 26 seconds
2026-05-15 07:51:25.939 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 25 seconds
2026-05-15 21:32:10.722 | ERROR    | android.bluestacks:connect:107 - ❌ [ADB] Connection failed: * daemon not running; starting now at tcp:5037
* daemon started successfully
2026-05-16 08:57:14.250 | ERROR    | android.bluestacks:connect:118 - ❌ [ADB] Connection failed: * daemon not running; starting now at tcp:5037
* daemon started successfully
2026-05-16 15:20:27.209 | ERROR    | android.bluestacks:connect:118 - ❌ [ADB] Connection failed: * daemon not running; starting now at tcp:5037
* daemon started successfully
2026-05-17 08:43:58.006 | ERROR    | android.bluestacks:connect:100 - ❌ [ADB] Connection failed: * daemon not running; starting now at tcp:5037
* daemon started successfully
2026-05-18 20:59:33.530 | ERROR    | android.bluestacks:connect:100 - ❌ [ADB] Connection failed: * daemon not running; starting now at tcp:5037
* daemon started successfully
2026-05-21 08:30:22.270 | ERROR    | android.bluestacks:connect:100 - ❌ [ADB] Connection failed: * daemon not running; starting now at tcp:5037
* daemon started successfully
